0.000 ,1.014, 1.236
0.083 ,0.987, 1.146
0.167 ,1.040, 1.270
0.250 ,0.989, 1.171
0.333 ,1.025, 1.198
0.417 ,1.026, 1.184
0.500 ,0.926, 1.101
0.583 ,0.992, 1.110
0.667 ,0.956, 1.000
0.750 ,0.888, 1.017
0.833 ,0.825, 1.045
0.917 ,0.794, 1.038
1.000 ,0.913, 0.964
1.083 ,0.902, 1.051
1.167 ,0.836, 1.112
1.250 ,0.793, 1.011
1.333 ,0.863, 1.059
1.417 ,0.957, 0.937
1.500 ,0.786, 1.037
1.583 ,0.895, 0.909
1.667 ,0.675, 0.923
1.750 ,0.762, 0.932
1.833 ,0.674, 0.949
1.917 ,0.671, 0.937
2.000 ,0.763, 1.068
2.083 ,0.898, 0.983
2.167 ,0.726, 0.954
2.250 ,0.925, 1.010
2.333 ,0.871, 0.937
2.417 ,0.760, 1.004
2.500 ,0.976, 0.966
2.583 ,0.862, 1.091
2.667 ,0.919, 0.977
2.750 ,0.994, 1.128
2.833 ,1.084, 1.134
2.917 ,0.870, 1.058
3.000 ,0.885, 1.083
3.083 ,0.835, 1.043
3.167 ,0.799, 1.057
3.250 ,0.611, 1.023
3.333 ,0.654, 1.026
3.417 ,0.684, 1.147
3.500 ,0.669, 1.216
3.583 ,0.888, 1.400
3.667 ,0.942, 1.316
3.750 ,1.030, 1.457
3.833 ,1.144, 1.612
3.917 ,1.341, 1.779
4.000 ,1.507, 2.086
4.083 ,1.671, 2.182
4.167 ,1.959, 2.409
4.250 ,1.984, 2.425
4.333 ,2.037, 2.341
4.417 ,1.978, 2.306
4.500 ,2.171, 2.513
4.583 ,2.325, 2.570
4.667 ,2.509, 2.723
4.750 ,2.694, 2.815
4.833 ,2.600, 2.672
4.917 ,2.729, 2.826
5.000 ,3.103, 2.762
5.083 ,3.032, 2.866
5.167 ,3.174, 2.941
5.250 ,3.295, 3.061
5.333 ,3.331, 3.194
5.417 ,3.577, 3.121
5.500 ,3.915, 3.278
5.583 ,4.336, 3.528
5.667 ,4.538, 3.693
5.750 ,4.337, 3.699
5.833 ,4.186, 3.554
5.917 ,5.099, 3.875
6.000 ,5.154, 3.815
6.083 ,4.943, 3.741
6.167 ,4.795, 3.635
6.250 ,4.994, 3.805
6.333 ,4.842, 3.682
6.417 ,5.394, 4.036
6.500 ,5.509, 4.077
6.583 ,5.298, 3.679
6.667 ,5.490, 3.770
6.750 ,5.682, 3.926
6.833 ,5.338, 3.623
6.917 ,5.803, 3.284
7.000 ,6.303, 3.769
7.083 ,5.918, 3.800
7.167 ,5.762, 3.919
7.250 ,6.172, 3.785
7.333 ,6.127, 3.738
7.417 ,6.104, 3.834
7.500 ,6.749, 3.838
7.583 ,7.011, 3.991
7.667 ,6.946, 4.020
7.750 ,7.919, 4.145
7.833 ,7.535, 4.145
7.917 ,7.080, 4.259
8.000 ,6.990, 4.191
8.083 ,7.631, 4.337
8.167 ,7.849, 4.357
8.250 ,7.334, 4.178
8.333 ,7.869, 4.146
8.417 ,7.816, 3.956
8.500 ,8.087, 3.913
8.583 ,8.019, 3.784
8.667 ,7.748, 3.904
8.750 ,7.844, 4.202
8.833 ,7.811, 4.089
8.917 ,7.929, 4.110
9.000 ,7.844, 4.281
9.083 ,7.733, 4.187
9.167 ,7.763, 4.320
9.250 ,7.762, 4.355
9.333 ,7.429, 4.356
9.417 ,7.557, 4.316
9.500 ,7.359, 4.191
9.583 ,7.122, 4.473
9.667 ,7.666, 4.909
9.750 ,7.721, 4.978
9.833 ,7.769, 5.072
9.917 ,8.052, 5.450
10.000 ,7.473, 5.388
10.083 ,7.727, 5.564
10.167 ,7.716, 5.522
10.250 ,7.709, 5.443
10.333 ,7.949, 5.336
10.417 ,7.633, 5.252
10.500 ,8.281, 5.358
10.583 ,7.957, 5.118
10.667 ,8.183, 5.023
10.750 ,7.927, 5.129
10.833 ,8.129, 5.166
10.917 ,7.661, 4.737
11.000 ,7.070, 4.137
11.083 ,6.984, 4.164
11.167 ,6.753, 4.097
11.250 ,6.684, 4.091
11.333 ,7.209, 4.211
11.417 ,7.831, 4.579
11.500 ,8.543, 4.668
11.583 ,9.153, 5.113
11.667 ,9.927, 5.270
11.750 ,10.707, 5.719
11.833 ,11.632, 6.474
11.917 ,11.941, 6.718
12.000 ,12.103, 6.658
12.083 ,12.676, 7.554
12.167 ,13.949, 7.811
12.250 ,14.663, 8.083
12.333 ,14.756, 8.498
12.417 ,15.937, 9.031
12.500 ,15.751, 8.915
12.583 ,16.475, 9.251
12.667 ,16.596, 9.176
12.750 ,17.390, 9.738
12.833 ,15.877, 9.339
12.917 ,17.675, 9.628
13.000 ,18.077, 10.023
13.083 ,18.606, 10.151
13.167 ,19.371, 10.664
13.250 ,18.823, 10.491
13.333 ,19.058, 10.743
13.417 ,19.470, 10.972
13.500 ,18.889, 11.129
13.583 ,18.591, 10.854
13.667 ,19.176, 10.719
13.750 ,19.155, 10.738
13.833 ,19.338, 10.856
13.917 ,19.356, 10.819
14.000 ,19.580, 10.971
14.083 ,19.876, 11.040
14.167 ,20.140, 11.352
14.250 ,19.969, 11.209
14.333 ,19.962, 11.226
14.417 ,20.116, 11.245
14.500 ,20.049, 11.123
14.583 ,19.744, 10.821
14.667 ,19.169, 10.484
14.750 ,18.063, 11.110
14.833 ,18.913, 11.397
14.917 ,18.874, 11.586
15.000 ,18.641, 11.659
15.083 ,19.072, 11.880
15.167 ,18.682, 11.683
15.250 ,18.007, 11.119
15.333 ,17.888, 11.277
15.417 ,17.672, 11.091
15.500 ,17.772, 11.165
15.583 ,17.056, 11.025
15.667 ,17.388, 10.894
15.750 ,17.226, 10.870
15.833 ,17.652, 10.683
15.917 ,17.165, 10.463
16.000 ,16.215, 10.307
16.083 ,17.070, 10.415
16.167 ,17.024, 10.514
16.250 ,17.063, 10.575
16.333 ,16.583, 10.105
16.417 ,16.673, 10.171
16.500 ,16.477, 10.011
16.583 ,15.758, 9.840
16.667 ,16.424, 10.141
16.750 ,15.890, 9.550
16.833 ,15.067, 9.614
16.917 ,15.438, 9.271
17.000 ,14.543, 9.287
17.083 ,14.811, 9.135
17.167 ,14.733, 9.215
17.250 ,14.514, 9.192
17.333 ,14.433, 9.233
17.417 ,14.266, 9.012
17.500 ,14.273, 9.083
17.583 ,14.021, 9.036
17.667 ,14.098, 8.906
17.750 ,13.917, 8.781
17.833 ,13.466, 8.770
17.917 ,13.342, 8.791
18.000 ,13.264, 8.790
18.083 ,13.252, 8.921
18.167 ,13.059, 8.603
18.250 ,12.966, 8.573
18.333 ,12.814, 8.415
18.417 ,12.930, 8.376
18.500 ,13.095, 8.514
18.583 ,12.838, 8.254
18.667 ,12.809, 8.308
18.750 ,12.654, 7.985
18.833 ,12.648, 8.130
18.917 ,12.343, 7.828
19.000 ,12.213, 7.978
19.083 ,12.040, 7.835
