0.000 ,0.429, 0.289
0.083 ,0.475, 0.344
0.167 ,0.375, 0.237
0.250 ,0.510, 0.332
0.333 ,0.336, 0.237
0.417 ,0.250, 0.272
0.500 ,0.332, 0.262
0.583 ,0.293, 0.238
0.667 ,0.425, 0.278
0.750 ,0.403, 0.229
0.833 ,0.403, 0.210
0.917 ,0.442, 0.228
1.000 ,0.420, 0.211
1.083 ,0.447, 0.249
1.167 ,0.388, 0.184
1.250 ,0.326, 0.207
1.333 ,0.291, 0.204
1.417 ,0.225, 0.175
1.500 ,0.416, 0.222
1.583 ,0.239, 0.181
1.667 ,0.525, 0.251
1.750 ,0.372, 0.349
1.833 ,0.268, 0.297
1.917 ,0.293, 0.268
2.000 ,0.442, 0.306
2.083 ,0.494, 0.357
2.167 ,0.447, 0.350
2.250 ,0.575, 0.432
2.333 ,0.270, 0.361
2.417 ,0.311, 0.399
2.500 ,0.293, 0.373
2.583 ,0.329, 0.378
2.667 ,0.388, 0.357
2.750 ,0.278, 0.351
2.833 ,0.327, 0.395
2.917 ,0.366, 0.370
3.000 ,0.447, 0.533
3.083 ,0.169, 0.333
3.167 ,0.276, 0.301
3.250 ,0.295, 0.448
3.333 ,0.297, 0.276
3.417 ,0.418, 0.319
3.500 ,0.282, 0.248
3.583 ,0.176, 0.255
3.667 ,0.422, 0.343
3.750 ,0.356, 0.217
3.833 ,0.486, 0.308
3.917 ,0.436, 0.302
4.000 ,0.423, 0.334
4.083 ,0.253, 0.317
4.167 ,0.425, 0.369
4.250 ,0.552, 0.339
4.333 ,0.456, 0.314
4.417 ,0.373, 0.343
4.500 ,0.296, 0.317
4.583 ,0.344, 0.387
4.667 ,0.193, 0.306
4.750 ,0.220, 0.287
4.833 ,0.163, 0.282
4.917 ,0.280, 0.367
5.000 ,0.084, 0.314
5.083 ,0.133, 0.320
5.167 ,0.150, 0.289
5.250 ,0.122, 0.299
5.333 ,0.225, 0.356
5.417 ,0.220, 0.301
5.500 ,0.169, 0.327
5.583 ,0.230, 0.402
5.667 ,0.106, 0.326
5.750 ,0.160, 0.285
5.833 ,0.183, 0.257
5.917 ,0.209, 0.380
6.000 ,0.153, 0.427
6.083 ,0.296, 0.427
6.167 ,0.262, 0.421
6.250 ,0.272, 0.437
6.333 ,0.118, 0.447
6.417 ,0.087, 0.455
6.500 ,0.254, 0.416
6.583 ,0.115, 0.475
6.667 ,0.132, 0.482
6.750 ,0.346, 0.647
6.833 ,0.436, 0.600
6.917 ,0.267, 0.454
7.000 ,0.235, 0.482
7.083 ,0.166, 0.529
7.167 ,0.248, 0.482
7.250 ,0.052, 0.426
7.333 ,0.143, 0.344
7.417 ,0.035, 0.392
7.500 ,0.138, 0.309
7.583 ,0.247, 0.384
7.667 ,0.104, 0.315
7.750 ,-0.000, 0.401
7.833 ,0.074, 0.407
7.917 ,0.014, 0.372
8.000 ,0.151, 0.501
8.083 ,0.220, 0.395
8.167 ,0.112, 0.464
8.250 ,0.116, 0.446
