0.000 ,5.154, 3.171
0.083 ,4.960, 3.015
0.167 ,4.810, 2.963
0.250 ,4.726, 2.883
0.333 ,4.547, 2.748
0.417 ,4.414, 2.668
0.500 ,4.292, 2.570
0.583 ,4.197, 2.552
0.667 ,4.349, 2.517
0.750 ,4.236, 2.436
0.833 ,4.229, 2.410
0.917 ,4.100, 2.395
1.000 ,4.035, 2.340
1.083 ,3.960, 2.297
1.167 ,3.784, 2.239
1.250 ,3.802, 2.255
1.333 ,3.823, 2.250
1.417 ,3.828, 2.278
1.500 ,3.958, 2.262
1.583 ,3.995, 2.234
1.667 ,3.741, 2.200
1.750 ,3.579, 2.085
1.833 ,3.613, 2.048
1.917 ,3.579, 2.037
2.000 ,3.498, 2.039
2.083 ,3.651, 2.073
2.167 ,3.592, 2.080
2.250 ,3.113, 1.954
2.333 ,3.288, 2.037
2.417 ,3.357, 2.069
2.500 ,3.314, 2.025
2.583 ,3.305, 2.045
2.667 ,3.154, 1.974
2.750 ,3.083, 1.982
2.833 ,3.182, 2.021
2.917 ,3.214, 2.043
3.000 ,3.181, 2.026
3.083 ,3.015, 1.955
3.167 ,3.001, 1.996
3.250 ,3.178, 2.043
3.333 ,3.199, 2.109
3.417 ,3.059, 2.104
3.500 ,3.245, 2.210
3.583 ,3.261, 2.232
3.667 ,3.412, 2.326
3.750 ,3.560, 2.378
3.833 ,3.598, 2.415
3.917 ,3.481, 2.366
4.000 ,3.234, 2.226
4.083 ,2.938, 2.132
4.167 ,2.944, 2.205
4.250 ,2.774, 2.071
4.333 ,2.735, 2.034
4.417 ,2.743, 2.027
4.500 ,2.506, 1.934
4.583 ,2.590, 1.974
4.667 ,2.527, 1.893
4.750 ,2.447, 1.838
4.833 ,2.504, 1.832
4.917 ,2.450, 1.848
5.000 ,2.391, 1.771
5.083 ,2.156, 1.686
5.167 ,2.095, 1.646
5.250 ,2.051, 1.652
5.333 ,1.919, 1.543
5.417 ,1.822, 1.491
5.500 ,1.774, 1.454
5.583 ,1.770, 1.486
5.667 ,1.750, 1.418
5.750 ,1.802, 1.427
5.833 ,1.694, 1.376
5.917 ,1.587, 1.316
6.000 ,1.562, 1.331
6.083 ,1.520, 1.281
6.167 ,1.511, 1.291
6.250 ,1.442, 1.215
6.333 ,1.410, 1.234
6.417 ,1.294, 1.183
6.500 ,1.264, 1.193
6.583 ,1.291, 1.162
6.667 ,1.233, 1.118
6.750 ,1.205, 1.091
6.833 ,1.144, 1.090
6.917 ,1.108, 1.069
7.000 ,1.079, 1.055
7.083 ,1.081, 1.050
7.167 ,1.094, 1.056
7.250 ,1.013, 1.044
7.333 ,0.920, 0.989
7.417 ,0.918, 0.979
7.500 ,0.907, 0.964
7.583 ,0.914, 0.962
7.667 ,0.939, 0.958
7.750 ,0.880, 0.926
7.833 ,0.834, 0.907
7.917 ,0.789, 0.901
8.000 ,0.846, 0.900
8.083 ,0.844, 0.877
8.167 ,0.775, 0.835
8.250 ,0.698, 0.802
8.333 ,0.630, 0.781
8.417 ,0.627, 0.780
8.500 ,0.647, 0.750
8.583 ,0.643, 0.743
8.667 ,0.632, 0.750
8.750 ,0.585, 0.717
8.833 ,0.544, 0.685
8.917 ,0.531, 0.691
9.000 ,0.585, 0.683
9.083 ,0.576, 0.661
9.167 ,0.616, 0.681
9.250 ,0.585, 0.673
9.333 ,0.561, 0.653
9.417 ,0.541, 0.659
9.500 ,0.456, 0.620
9.583 ,0.435, 0.628
9.667 ,0.471, 0.625
9.750 ,0.489, 0.613
9.833 ,0.497, 0.617
9.917 ,0.481, 0.576
10.000 ,0.436, 0.568
10.083 ,0.419, 0.564
10.167 ,0.405, 0.584
10.250 ,0.443, 0.593
10.333 ,0.462, 0.563
10.417 ,0.462, 0.579
10.500 ,0.485, 0.559
10.583 ,0.472, 0.556
10.667 ,0.454, 0.544
10.750 ,0.448, 0.562
10.833 ,0.380, 0.551
10.917 ,0.399, 0.550
11.000 ,0.349, 0.526
11.083 ,0.356, 0.522
11.167 ,0.365, 0.535
11.250 ,0.334, 0.508
11.333 ,0.343, 0.509
11.417 ,0.687, 0.644
11.500 ,1.246, 0.957
11.583 ,2.011, 1.380
11.667 ,2.836, 1.865
11.750 ,3.886, 2.410
11.833 ,4.961, 2.992
11.917 ,6.204, 3.588
12.000 ,7.094, 4.159
12.083 ,7.649, 4.505
12.167 ,8.265, 4.840
12.250 ,8.770, 5.108
12.333 ,9.422, 5.606
12.417 ,9.470, 5.609
12.500 ,9.978, 5.936
12.583 ,10.511, 6.181
12.667 ,10.754, 6.331
12.750 ,11.135, 6.521
12.833 ,11.604, 6.745
12.917 ,12.025, 6.873
13.000 ,12.534, 7.207
13.083 ,12.389, 7.145
13.167 ,12.521, 7.271
13.250 ,12.614, 7.231
13.333 ,12.566, 7.354
13.417 ,12.865, 7.496
13.500 ,13.675, 7.941
13.583 ,14.130, 7.940
13.667 ,14.356, 8.211
13.750 ,14.498, 8.313
13.833 ,14.725, 8.511
13.917 ,14.479, 8.281
14.000 ,14.790, 8.402
14.083 ,14.975, 8.517
14.167 ,15.512, 8.788
14.250 ,15.758, 8.953
14.333 ,15.883, 8.899
14.417 ,15.797, 8.826
14.500 ,15.708, 8.964
14.583 ,15.913, 9.131
14.667 ,16.084, 9.170
14.750 ,15.989, 9.288
14.833 ,16.080, 9.297
14.917 ,16.350, 9.570
15.000 ,16.197, 9.449
15.083 ,16.161, 9.493
15.167 ,16.116, 9.350
15.250 ,16.605, 9.773
15.333 ,16.614, 9.630
15.417 ,16.733, 9.756
15.500 ,16.663, 9.718
15.583 ,17.193, 9.837
15.667 ,17.673, 10.029
15.750 ,17.870, 10.348
15.833 ,17.233, 9.965
15.917 ,16.699, 9.702
16.000 ,16.676, 9.541
16.083 ,16.732, 9.453
16.167 ,17.178, 9.670
16.250 ,16.549, 9.338
16.333 ,16.744, 9.499
